starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:05 2023	1693741985	0	610	610	609
Sun Sep 03 19:53:08 2023	1693741988	0	610	610	610
Sun Sep 03 19:53:06 2023	1693741986	1	609	610	609
Sun Sep 03 19:53:04 2023	1693741984	0	611	611	610
Sun Sep 03 19:53:04 2023	1693741984	0	611	611	610
Sun Sep 03 19:53:06 2023	1693741986	0	611	611	611
Sun Sep 03 19:53:08 2023	1693741988	0	611	611	610
Sun Sep 03 19:52:59 2023	1693741979	0	611	611	610
Sun Sep 03 19:53:02 2023	1693741982	0	611	611	606
Sun Sep 03 19:53:06 2023	1693741986	0	611	611	611
Sun Sep 03 19:53:01 2023	1693741981	0	611	611	611
Sun Sep 03 19:53:05 2023	1693741985	0	612	612	612
Sun Sep 03 19:53:08 2023	1693741988	0	612	613	612
Sun Sep 03 19:53:08 2023	1693741988	0	613	613	612
Sun Sep 03 19:53:07 2023	1693741987	0	613	613	612
Sun Sep 03 19:53:04 2023	1693741984	0	613	613	613
Sun Sep 03 19:53:08 2023	1693741988	0	613	613	613
Sun Sep 03 19:53:01 2023	1693741981	0	613	613	612
Sun Sep 03 19:52:59 2023	1693741979	0	613	613	613
Sun Sep 03 19:53:08 2023	1693741988	0	614	614	614
Sun Sep 03 19:53:03 2023	1693741983	0	614	614	613
Sun Sep 03 19:53:09 2023	1693741989	0	614	614	613
Sun Sep 03 19:53:06 2023	1693741986	0	614	614	614
Sun Sep 03 19:53:05 2023	1693741985	0	615	615	614
Sun Sep 03 19:53:00 2023	1693741980	0	615	615	614
Sun Sep 03 19:53:09 2023	1693741989	0	615	615	615
Sun Sep 03 19:53:06 2023	1693741986	0	615	615	615
Sun Sep 03 19:52:59 2023	1693741979	1	615	616	615
Sun Sep 03 19:53:00 2023	1693741980	0	616	616	616
Sun Sep 03 19:53:09 2023	1693741989	0	616	616	615
Sun Sep 03 19:53:06 2023	1693741986	0	616	616	615
Sun Sep 03 19:53:02 2023	1693741982	0	616	616	615
Sun Sep 03 19:53:08 2023	1693741988	0	616	616	616
Sun Sep 03 19:53:08 2023	1693741988	0	616	617	616
Sun Sep 03 19:53:09 2023	1693741989	0	616	617	615
Sun Sep 03 19:53:08 2023	1693741988	0	617	617	616
Sun Sep 03 19:53:02 2023	1693741982	0	616	617	616
Sun Sep 03 19:53:05 2023	1693741985	0	617	617	614
Sun Sep 03 19:53:03 2023	1693741983	1	616	617	616
Sun Sep 03 19:53:08 2023	1693741988	0	617	617	616
Sun Sep 03 19:53:04 2023	1693741984	0	617	617	617
Sun Sep 03 19:53:07 2023	1693741987	0	617	617	616
Sun Sep 03 19:53:06 2023	1693741986	0	618	618	618
Sun Sep 03 19:52:59 2023	1693741979	1	617	618	616
Sun Sep 03 19:53:07 2023	1693741987	0	618	618	618
Sun Sep 03 19:52:59 2023	1693741979	0	619	619	557
Sun Sep 03 19:53:01 2023	1693741981	0	619	619	618
Sun Sep 03 19:53:03 2023	1693741983	0	619	619	618
Sun Sep 03 19:53:09 2023	1693741989	0	619	619	616
Sun Sep 03 19:53:08 2023	1693741988	0	619	619	619
Sun Sep 03 19:53:06 2023	1693741986	0	619	619	618
Sun Sep 03 19:53:08 2023	1693741988	0	619	619	619
Sun Sep 03 19:53:03 2023	1693741983	0	619	620	619
Sun Sep 03 19:52:59 2023	1693741979	0	619	620	616
Sun Sep 03 19:53:00 2023	1693741980	0	620	620	619
Sun Sep 03 19:53:00 2023	1693741980	0	620	620	619
Sun Sep 03 19:53:08 2023	1693741988	0	620	620	619
Sun Sep 03 19:53:03 2023	1693741983	0	620	620	619
Sun Sep 03 19:53:08 2023	1693741988	0	621	621	619
Sun Sep 03 19:53:08 2023	1693741988	0	621	621	620
Sun Sep 03 19:53:01 2023	1693741981	0	621	621	620
Sun Sep 03 19:53:04 2023	1693741984	0	621	621	620
Sun Sep 03 19:53:03 2023	1693741983	0	622	622	621
Sun Sep 03 19:53:05 2023	1693741985	0	622	622	621
Sun Sep 03 19:53:05 2023	1693741985	0	622	622	621
Sun Sep 03 19:53:08 2023	1693741988	0	622	622	621
Sun Sep 03 19:53:07 2023	1693741987	0	622	622	622
Sun Sep 03 19:53:08 2023	1693741988	0	622	623	622
Sun Sep 03 19:53:08 2023	1693741988	0	622	623	622
Sun Sep 03 19:53:00 2023	1693741980	0	623	623	622
Sun Sep 03 19:53:07 2023	1693741987	0	622	623	622
Sun Sep 03 19:53:08 2023	1693741988	0	623	623	622
Sun Sep 03 19:53:02 2023	1693741982	0	623	623	622
Sun Sep 03 19:53:07 2023	1693741987	0	623	623	623
Sun Sep 03 19:53:00 2023	1693741980	0	623	624	623
Sun Sep 03 19:53:06 2023	1693741986	0	624	624	623
Sun Sep 03 19:53:04 2023	1693741984	0	624	624	623
Sun Sep 03 19:53:01 2023	1693741981	0	624	624	624
