starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:50:25 2023	1693741825	0	481	481	481
Sun Sep 03 19:50:30 2023	1693741830	0	481	482	481
Sun Sep 03 19:50:24 2023	1693741824	0	481	482	481
Sun Sep 03 19:50:26 2023	1693741826	0	481	482	481
Sun Sep 03 19:50:27 2023	1693741827	0	482	482	480
Sun Sep 03 19:50:25 2023	1693741825	0	482	482	481
Sun Sep 03 19:50:30 2023	1693741830	0	482	482	481
Sun Sep 03 19:50:29 2023	1693741829	0	482	482	481
Sun Sep 03 19:50:25 2023	1693741825	0	482	482	481
Sun Sep 03 19:50:24 2023	1693741824	0	482	482	481
Sun Sep 03 19:50:30 2023	1693741830	0	482	482	482
Sun Sep 03 19:50:27 2023	1693741827	0	482	482	481
Sun Sep 03 19:50:24 2023	1693741824	0	482	482	482
Sun Sep 03 19:50:24 2023	1693741824	0	482	482	482
Sun Sep 03 19:50:24 2023	1693741824	0	482	482	482
Sun Sep 03 19:50:27 2023	1693741827	0	482	482	482
Sun Sep 03 19:50:30 2023	1693741830	0	482	482	482
